,Station,Easting,Northing,Zone,Grid_code,Habitat,Elevation,Slope,Aspect,Aspect_Cat2,Aspect_Cat8,Ruggedness,PopDen,RoadDen,DistPop,DistRoad
71,TBA12,521061,4578958,36,23,BL,1533,2.107774933911,115.626412669018,S,SE,5,17.1207389831543,0.137606680393219,43574.6484375,6000
72,TBA13,523231,4576973,36,24,CF,1236,4.25057768774005,137.180873966883,S,SE,6,20.4556064605713,0.129148930311203,41746.2578125,4000
73,TBA14,523053,4575042,36,24,CF,1053,2.73745131891837,141.565994696875,S,SE,3,22.1748065948486,0.123547069728374,42008.9296875,4000
74,TDA01,541468,4585566,36,29,O,1110,4.20118093632762,56.1288305596728,N,NE,6,18.2886447906494,0.159920006990433,24140.216796875,5656.8544921875
75,TDA02,538983,4584839,36,25,MF,1323,1.07065297753072,24.8498365565891,N,NE,6,17.8187675476074,0.145017221570015,25743.93359375,4472.1357421875
76,TDA03,537056,4583374,36,29,O,1408,3.0413615060522,315.140675826937,N,NW,7,17.8187675476074,0.131101548671722,27726.34375,5656.8544921875
77,TDA04,537104,4581161,36,24,CF,1351,2.0617311072672,213.959973243931,S,SW,3,18.0038452148438,0.143070936203003,27509.08984375,7211.1025390625
78,TDA05,536992,4584963,36,29,O,1408,3.0413615060522,315.140675826937,N,NW,7,17.7960300445557,0.131101548671722,27726.34375,4000
79,TDA06,538637,4587270,36,23,BL,1257,3.96517614877604,347.715685937188,N,N,5,18.0299510955811,0.135456770658493,26091.1875,2828.42724609375
80,TDA07,540880,4587277,36,23,BL,1110,4.20118093632762,56.1288305596728,N,NE,6,18.2886447906494,0.159920006990433,24140.216796875,4472.1357421875
81,TDA08,541113,4583075,36,23,BL,1296,2.16436854202873,55.4530205683303,N,NE,5,17.8939418792725,0.168293356895447,23510.638671875,8246.2109375
82,TDA09,538900,4583211,36,25,MF,1323,1.07065297753072,24.8498365565891,N,NE,6,17.8187675476074,0.145017221570015,25743.93359375,7211.1025390625
