"","y","site","area","year","month","pocc","socc","ndays","season","aspect","habitat","elevation","slope","rugg","popden","roadden","distpop","distroad"
"158",0,158,10,2007,12,1,1,17,1,1,4,-1.01575936954179,-1.12030754785646,4,1.04620652752336,-0.711771890404088,0.322447662710167,-0.43560865939234
"159",0,159,10,2007,12,1,1,108,1,1,3,-0.652845854387833,-1.11168174977693,6,0.750244376059845,-0.718329068338223,0.478892682370952,0.354520898363524
"160",0,160,10,2007,12,1,1,108,1,1,3,-0.941695386857313,-0.760662713026594,6,1.04620652752336,-0.793713430353788,0.444488912328048,0.0386625921162758
"161",0,161,10,2007,12,1,1,108,1,1,3,-0.652845854387833,-1.11168174977693,6,0.780767023458836,-0.718329068338223,0.478892682370952,0.354520898363524
"162",0,162,10,2007,12,1,1,108,1,0,2,-0.975024179065329,-0.81603034944657,6,0.59254182216733,-0.703569763296925,0.402101588978119,0.889681122773246
"163",0,163,10,2007,12,1,1,108,1,0,2,-0.871334603307055,-0.185476468805001,4,0.742073721162532,-0.643959157617372,0.239584692498964,0.567530687798904
"164",1,164,10,2007,12,1,1,108,1,0,2,-1.07501055568938,-1.58621878839417,4,0.769713626579633,-0.674024576173761,0.358856746398942,0.567530687798904
"165",0,165,10,2007,12,1,1,73,1,0,2,-1.0935265513605,0.270071491264445,7,0.602523783910208,-0.677936207629363,0.285382872507302,0.0386625921162758
"166",0,166,10,2007,12,1,1,88,1,0,3,-2.07117112279566,1.16675712549894,4,0.930420559842833,-0.675070693729632,-0.0400520817456108,-0.797119838626532
"167",0,167,10,2007,12,1,1,107,1,1,4,-0.941695386857313,-0.760662713026594,6,1.07823286102548,-0.793713430353788,0.444488912328048,-0.231863034954933
"168",1,168,10,2007,12,1,1,106,1,0,4,-0.319557932307665,-0.435937462096009,6,0.997532759901962,-0.639798719824126,0.169868132747437,0.354520898363524
"169",0,169,10,2007,12,1,1,103,1,1,4,-0.989836975602226,-0.36838755988536,6,1.26459801500632,-0.750810735714241,0.293242233374228,-0.43560865939234
"170",0,170,10,2007,12,1,1,106,1,0,3,-0.319557932307665,-0.883222633309545,6,0.997532759901962,-0.639798719824126,0.169868132747437,0.0386625921162758
"171",0,171,10,2007,12,1,1,106,1,0,3,-1.66011601889679,1.43296608309309,4,1.16014506055742,-0.660830771918128,-0.0756218808094367,-0.941189769921883
"330",1,159,10,2008,1,1,2,108,1,1,3,-0.652845854387833,-1.11168174977693,6,0.750244376059845,-0.718329068338223,0.478892682370952,0.354520898363524
"331",0,160,10,2008,1,1,2,108,1,1,3,-0.941695386857313,-0.760662713026594,6,1.04620652752336,-0.793713430353788,0.444488912328048,0.0386625921162758
"332",0,161,10,2008,1,1,2,108,1,1,3,-0.652845854387833,-1.11168174977693,6,0.780767023458836,-0.718329068338223,0.478892682370952,0.354520898363524
"333",0,162,10,2008,1,1,2,108,1,0,2,-0.975024179065329,-0.81603034944657,6,0.59254182216733,-0.703569763296925,0.402101588978119,0.889681122773246
"334",0,163,10,2008,1,1,2,108,1,0,2,-0.871334603307055,-0.185476468805001,4,0.742073721162532,-0.643959157617372,0.239584692498964,0.567530687798904
"335",0,164,10,2008,1,1,2,108,1,0,2,-1.07501055568938,-1.58621878839417,4,0.769713626579633,-0.674024576173761,0.358856746398942,0.567530687798904
"336",0,165,10,2008,1,1,2,73,1,0,2,-1.0935265513605,0.270071491264445,7,0.602523783910208,-0.677936207629363,0.285382872507302,0.0386625921162758
"337",1,166,10,2008,1,1,2,88,1,0,3,-2.07117112279566,1.16675712549894,4,0.930420559842833,-0.675070693729632,-0.0400520817456108,-0.797119838626532
"338",0,167,10,2008,1,1,2,107,1,1,4,-0.941695386857313,-0.760662713026594,6,1.07823286102548,-0.793713430353788,0.444488912328048,-0.231863034954933
"339",1,168,10,2008,1,1,2,106,1,0,4,-0.319557932307665,-0.435937462096009,6,0.997532759901962,-0.639798719824126,0.169868132747437,0.354520898363524
"340",0,169,10,2008,1,1,2,103,1,1,4,-0.989836975602226,-0.36838755988536,6,1.26459801500632,-0.750810735714241,0.293242233374228,-0.43560865939234
"341",0,170,10,2008,1,1,2,106,1,0,3,-0.319557932307665,-0.883222633309545,6,0.997532759901962,-0.639798719824126,0.169868132747437,0.0386625921162758
"342",0,171,10,2008,1,1,2,106,1,0,3,-1.66011601889679,1.43296608309309,4,1.16014506055742,-0.660830771918128,-0.0756218808094367,-0.941189769921883
"501",0,159,10,2008,2,1,3,108,1,1,3,-0.652845854387833,-1.11168174977693,6,0.750244376059845,-0.718329068338223,0.478892682370952,0.354520898363524
"502",0,160,10,2008,2,1,3,108,1,1,3,-0.941695386857313,-0.760662713026594,6,1.04620652752336,-0.793713430353788,0.444488912328048,0.0386625921162758
"503",0,161,10,2008,2,1,3,108,1,1,3,-0.652845854387833,-1.11168174977693,6,0.780767023458836,-0.718329068338223,0.478892682370952,0.354520898363524
"504",0,162,10,2008,2,1,3,108,1,0,2,-0.975024179065329,-0.81603034944657,6,0.59254182216733,-0.703569763296925,0.402101588978119,0.889681122773246
"505",0,163,10,2008,2,1,3,108,1,0,2,-0.871334603307055,-0.185476468805001,4,0.742073721162532,-0.643959157617372,0.239584692498964,0.567530687798904
"506",0,164,10,2008,2,1,3,108,1,0,2,-1.07501055568938,-1.58621878839417,4,0.769713626579633,-0.674024576173761,0.358856746398942,0.567530687798904
"507",0,165,10,2008,2,1,3,73,1,0,2,-1.0935265513605,0.270071491264445,7,0.602523783910208,-0.677936207629363,0.285382872507302,0.0386625921162758
"508",0,166,10,2008,2,1,3,88,1,0,3,-2.07117112279566,1.16675712549894,4,0.930420559842833,-0.675070693729632,-0.0400520817456108,-0.797119838626532
"509",0,167,10,2008,2,1,3,107,1,1,4,-0.941695386857313,-0.760662713026594,6,1.07823286102548,-0.793713430353788,0.444488912328048,-0.231863034954933
"510",0,168,10,2008,2,1,3,106,1,0,4,-0.319557932307665,-0.435937462096009,6,0.997532759901962,-0.639798719824126,0.169868132747437,0.354520898363524
"511",0,169,10,2008,2,1,3,103,1,1,4,-0.989836975602226,-0.36838755988536,6,1.26459801500632,-0.750810735714241,0.293242233374228,-0.43560865939234
"512",0,170,10,2008,2,1,3,106,1,0,3,-0.319557932307665,-0.883222633309545,6,0.997532759901962,-0.639798719824126,0.169868132747437,0.0386625921162758
"513",0,171,10,2008,2,1,3,106,1,0,3,-1.66011601889679,1.43296608309309,4,1.16014506055742,-0.660830771918128,-0.0756218808094367,-0.941189769921883
"672",1,159,10,2008,3,1,4,108,1,1,3,-0.652845854387833,-1.11168174977693,6,0.750244376059845,-0.718329068338223,0.478892682370952,0.354520898363524
"673",0,160,10,2008,3,1,4,108,1,1,3,-0.941695386857313,-0.760662713026594,6,1.04620652752336,-0.793713430353788,0.444488912328048,0.0386625921162758
"674",1,161,10,2008,3,1,4,108,1,1,3,-0.652845854387833,-1.11168174977693,6,0.780767023458836,-0.718329068338223,0.478892682370952,0.354520898363524
"675",0,162,10,2008,3,1,4,108,1,0,2,-0.975024179065329,-0.81603034944657,6,0.59254182216733,-0.703569763296925,0.402101588978119,0.889681122773246
"676",0,163,10,2008,3,1,4,108,1,0,2,-0.871334603307055,-0.185476468805001,4,0.742073721162532,-0.643959157617372,0.239584692498964,0.567530687798904
"677",0,164,10,2008,3,1,4,108,1,0,2,-1.07501055568938,-1.58621878839417,4,0.769713626579633,-0.674024576173761,0.358856746398942,0.567530687798904
"679",0,166,10,2008,3,1,4,88,1,0,3,-2.07117112279566,1.16675712549894,4,0.930420559842833,-0.675070693729632,-0.0400520817456108,-0.797119838626532
"680",0,167,10,2008,3,1,4,107,1,1,4,-0.941695386857313,-0.760662713026594,6,1.07823286102548,-0.793713430353788,0.444488912328048,-0.231863034954933
"681",0,168,10,2008,3,1,4,106,1,0,4,-0.319557932307665,-0.435937462096009,6,0.997532759901962,-0.639798719824126,0.169868132747437,0.354520898363524
"682",0,169,10,2008,3,1,4,103,1,1,4,-0.989836975602226,-0.36838755988536,6,1.26459801500632,-0.750810735714241,0.293242233374228,-0.43560865939234
"683",0,170,10,2008,3,1,4,106,1,0,3,-0.319557932307665,-0.883222633309545,6,0.997532759901962,-0.639798719824126,0.169868132747437,0.0386625921162758
"684",0,171,10,2008,3,1,4,106,1,0,3,-1.66011601889679,1.43296608309309,4,1.16014506055742,-0.660830771918128,-0.0756218808094367,-0.941189769921883
"842",0,158,10,2008,5,2,5,34,0,1,4,-1.01575936954179,-1.12030754785646,4,1.04620652752336,-0.711771890404088,0.322447662710167,-0.43560865939234
"843",0,159,10,2008,5,2,5,33,0,1,3,-0.652845854387833,-1.11168174977693,6,0.750244376059845,-0.718329068338223,0.478892682370952,0.354520898363524
"845",0,161,10,2008,5,2,5,34,0,1,3,-0.652845854387833,-1.11168174977693,6,0.780767023458836,-0.718329068338223,0.478892682370952,0.354520898363524
"846",0,162,10,2008,5,2,5,34,0,0,2,-0.975024179065329,-0.81603034944657,6,0.59254182216733,-0.703569763296925,0.402101588978119,0.889681122773246
